file_name,replicate,sample_day,cell_density,start_time
data-raw/5C-experiment/flowcam-summaries-may04/1_summary,1,lst,1716,2017-05-04  18:45:39
data-raw/5C-experiment/flowcam-summaries-may04/10_summary,10,lst,1249,2017-05-04  18:47:26
data-raw/5C-experiment/flowcam-summaries-may04/11_summary,11,lst,1131,2017-05-04  18:55:52
data-raw/5C-experiment/flowcam-summaries-may04/12_summary,12,lst,876,2017-05-04  19:01:12
data-raw/5C-experiment/flowcam-summaries-may04/13_summary,13,lst,1043,2017-05-04  18:50:18
data-raw/5C-experiment/flowcam-summaries-may04/14_summary,14,lst,827,2017-05-04  18:53:58
data-raw/5C-experiment/flowcam-summaries-may04/15_summary,15,lst,857,2017-05-04  18:59:24
data-raw/5C-experiment/flowcam-summaries-may04/16_summary,16,copy,1255,2017-05-04  18:41:20
data-raw/5C-experiment/flowcam-summaries-may04/18_summary,18,copy,1312,2017-05-04  18:38:56
data-raw/5C-experiment/flowcam-summaries-may04/2_summary,2,lst,1654,2017-05-04  19:04:44
data-raw/5C-experiment/flowcam-summaries-may04/3_summary,3,lst,1142,2017-05-04  19:06:30
data-raw/5C-experiment/flowcam-summaries-may04/4_summary,4,lst,1364,2017-05-04  19:08:53
data-raw/5C-experiment/flowcam-summaries-may04/5_summary,5,lst,1337,2017-05-04  18:52:06
data-raw/5C-experiment/flowcam-summaries-may04/6_summary,6,lst,1034,2017-05-04  19:02:59
data-raw/5C-experiment/flowcam-summaries-may04/7_summary,7,lst,931,2017-05-04  18:57:37
data-raw/5C-experiment/flowcam-summaries-may04/8_summary,8,copy,1287,2017-05-04  19:10:40
data-raw/5C-experiment/flowcam-summaries-may04/9_summary,9,lst,1071,2017-05-04  18:43:53
data-raw/5C-experiment/flowcam-summaries-may15/1_summary,1,lst,18345,2017-05-15  16:48:07
data-raw/5C-experiment/flowcam-summaries-may15/10_summary,10,lst,13100,2017-05-15  16:46:38
data-raw/5C-experiment/flowcam-summaries-may15/11_summary,11,lst,10844,2017-05-15  16:57:07
data-raw/5C-experiment/flowcam-summaries-may15/12_summary,12,lst,10980,2017-05-15  17:01:27
data-raw/5C-experiment/flowcam-summaries-may15/13_summary,13,lst,11748,2017-05-15  16:51:03
data-raw/5C-experiment/flowcam-summaries-may15/14_summary,14,lst,11296,2017-05-15  16:55:41
data-raw/5C-experiment/flowcam-summaries-may15/15_summary,15,lst,8359,2017-05-15  17:00:01
data-raw/5C-experiment/flowcam-summaries-may15/16_summary,16,lst,32775,2017-05-15  16:42:05
data-raw/5C-experiment/flowcam-summaries-may15/17_summary,17,lst,35353,2017-05-15  16:39:14
data-raw/5C-experiment/flowcam-summaries-may15/18_summary,18,lst,30303,2017-05-15  16:35:16
data-raw/5C-experiment/flowcam-summaries-may15/2_summary,2,lst,7094,2017-05-15  17:05:30
data-raw/5C-experiment/flowcam-summaries-may15/3_summary,3,lst,10709,2017-05-15  17:07:00
data-raw/5C-experiment/flowcam-summaries-may15/4_summary,4,copy,17211,2017-05-15  16:43:32
data-raw/5C-experiment/flowcam-summaries-may15/5_summary,5,lst,8043,2017-05-15  16:54:12
data-raw/5C-experiment/flowcam-summaries-may15/6_summary,6,lst,7546,2017-05-15  17:02:54
data-raw/5C-experiment/flowcam-summaries-may15/7_summary,7,lst,7681,2017-05-15  16:58:32
data-raw/5C-experiment/flowcam-summaries-may15/8_summary,8,lst,11567,2017-05-15  16:37:48
data-raw/5C-experiment/flowcam-summaries-may15/9_summary,9,lst,16628,2017-05-15  16:49:38
